Manuscript_number,DOI,funder,name,fundref
es-2022-04501c,10.1021/acs.est.2c04501,grid.280664.e,National Institute of Environmental Health Sciences,
es-2022-04501c,10.1021/acs.est.2c04501,grid.416809.2,National Institute for Occupational Safety and Health,
es-2022-04501c,10.1021/acs.est.2c04501,grid.429651.d,National Center for Advancing Translational Sciences,100006108
es-2022-04501c,10.1021/acs.est.2c04501,grid.280738.6,National Institute of Nursing Research,
es-2022-04501c,10.1021/acs.est.2c04501,grid.416738.f,Centers for Disease Control and Prevention,
es-2022-04501c,10.1021/acs.est.2c04501,grid.436415.1,National Research Foundation of Korea,501100003725
es-2022-04501c,10.1021/acs.est.2c04501,grid.419475.a,National Institute on Aging,
es-2022-045194,10.1021/acs.est.2c04519,,,
es-2022-045386,10.1021/acs.est.2c04538,,,
es-2022-04576f,10.1021/acs.est.2c04576,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-04576f,10.1021/acs.est.2c04576,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2022-04584h,10.1021/acs.est.2c04584,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2022-04584h,10.1021/acs.est.2c04584,grid.453312.2,Jiangsu Agricultural Science and Technology Innovation Fund,
es-2022-04584h,10.1021/acs.est.2c04584,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-04660a,10.1021/acs.est.2c04660,grid.451322.3,"Ministry of Economy, Industry and Competitiveness",501100003329
es-2022-04660a,10.1021/acs.est.2c04660,grid.453267.1,The Velux Foundations,100008397
es-2022-04660a,10.1021/acs.est.2c04660,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-04660a,10.1021/acs.est.2c04660,grid.270680.b,European Commission,501100000780
es-2022-04660a,10.1021/acs.est.2c04660,grid.452927.f,Science and Technology Commission of Shanghai Municipality,
es-2022-04660a,10.1021/acs.est.2c04660,grid.450912.b,Innovation Fund Denmark,
es-2022-04705y,10.1021/acs.est.2c04705,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-04715w,10.1021/acs.est.2c04715,grid.457783.a,Division of Molecular & Cellular Biosciences,
es-2022-04715w,10.1021/acs.est.2c04715,grid.457768.f,Directorate for Biological Sciences,
es-2022-04715w,10.1021/acs.est.2c04715,grid.457875.c,Directorate for Mathematical & Physical Sciences,
es-2022-04715w,10.1021/acs.est.2c04715,grid.457799.1,Directorate for STEM Education,
es-2022-04751g,10.1021/acs.est.2c04751,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-04755b,10.1021/acs.est.2c04755,,,
es-2022-04759d,10.1021/acs.est.2c04759,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-04759d,10.1021/acs.est.2c04759,grid.9227.e,Chinese Academy of Sciences,501100002367
es-2022-04765n,10.1021/acs.est.2c04765,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-04765n,10.1021/acs.est.2c04765,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2022-04784j,10.1021/acs.est.2c04784,,,
es-2022-04803z,10.1021/acs.est.2c04803,,,
es-2022-04815s,,,,
es-2022-04824c,,,,
